,time,Skykight,InShade,NorthUp,Northdown,SouthUp,Southdown,TimeStep
323,2020/4/3 05:50,10,0,50,50,100,100,2.02004E+11
324,2020/4/3 06:00,10,0,50,50,100,100,2.02004E+11
325,2020/4/3 06:10,10,0,50,50,100,100,2.02004E+11
326,2020/4/3 06:20,10,0,50,50,100,100,2.02004E+11
327,2020/4/3 06:30,10,0,50,50,100,100,2.02004E+11
328,2020/4/3 06:40,10,0,50,50,100,100,2.02004E+11
329,2020/4/3 06:50,10,0,50,50,100,100,2.02004E+11
330,2020/4/3 07:00,10,0,50,50,100,100,2.02004E+11
331,2020/4/3 07:10,10,0,50,50,100,100,2.02004E+11
332,2020/4/3 07:20,10,0,50,50,100,100,2.02004E+11
333,2020/4/3 07:30,10,0,50,50,100,100,2.02004E+11
334,2020/4/3 07:40,10,0,50,50,100,100,2.02004E+11
335,2020/4/3 07:50,10,0,50,50,100,100,2.02004E+11
336,2020/4/3 08:00,10,0,50,50,100,100,2.02004E+11
337,2020/4/3 08:10,10,0,50,50,100,100,2.02004E+11
338,2020/4/3 08:20,10,0,50,50,100,100,2.02004E+11
339,2020/4/3 08:30,10,0,50,50,100,100,2.02004E+11
340,2020/4/3 08:40,10,0,50,50,100,100,2.02004E+11
341,2020/4/3 08:50,10,0,100,100,100,100,2.02004E+11
342,2020/4/3 09:00,10,0,100,100,100,100,2.02004E+11
343,2020/4/3 09:10,10,0,100,100,100,100,2.02004E+11
344,2020/4/3 09:20,10,0,100,100,100,100,2.02004E+11
345,2020/4/3 09:30,10,0,100,100,100,100,2.02004E+11
346,2020/4/3 09:40,10,0,100,100,100,100,2.02004E+11
347,2020/4/3 09:50,10,0,100,100,100,100,2.02004E+11
348,2020/4/3 10:00,10,0,100,100,100,100,2.02004E+11
349,2020/4/3 10:10,10,0,100,100,100,100,2.02004E+11
350,2020/4/3 10:20,10,0,100,100,100,100,2.02004E+11
351,2020/4/3 10:30,10,0,100,100,100,100,2.02004E+11
352,2020/4/3 10:40,10,0,100,100,100,100,2.02004E+11
353,2020/4/3 10:50,10,0,100,100,100,100,2.02004E+11
354,2020/4/3 11:00,10,0,100,100,100,100,2.02004E+11
355,2020/4/3 11:10,10,0,100,100,100,100,2.02004E+11
356,2020/4/3 11:20,10,0,100,100,100,100,2.02004E+11
357,2020/4/3 11:30,10,0,100,100,100,100,2.02004E+11
